Datetime,Tweet Id,Text,Topic
1/16/2021 19:12,1.35052E+18,@Pierre39839349 @AOC You are a bot by virtue of using this account simply to spout nonsense in place of a main acco… https://t.co/Gbip8lJ7Gm,AOC
1/16/2021 19:12,1.35052E+18,Hey @laurenboebert she’s asking about you! What’s your answer? https://t.co/84KDk2YH6R,AOC
1/16/2021 19:12,1.35052E+18,RT @emipon244: Regency style Impa and Zelda 🎀 (based off of aoc/botw) #legendofzelda https://t.co/mnuLvaeUUr,AOC
1/16/2021 19:12,1.35052E+18,Well @RepBice ? https://t.co/beAzoAFXZw,AOC
1/16/2021 19:12,1.35052E+18,@SimonHo68500260 @TxGuitarDude @ProudSocialist @TheDemocrats @BernieSanders @AOC @JohnKerry @JoeBiden @AOL @MSNBC… https://t.co/pKq03Y1sr2,AOC
1/16/2021 19:12,1.35052E+18,RT @TikkitaviRikki: @SteveBrant @betsy_klein @abdallahcnn @TimothyDSnyder @JYSexton @MalcolmNance @GenMhayden @BeauTFC @sarahkendzior @Amy_…,AOC
1/16/2021 19:12,1.35052E+18,@IamSteveSanchez @LaddEveritt @AOC @JoeBiden Don’t you have terrorists to persuade,AOC
1/16/2021 19:12,1.35052E+18,@PeterVroom1 @AOC AND it doesn’t deter criminals.....,AOC
1/16/2021 19:12,1.35052E+18,RT @KipSneen: @johniadarola @AOC @IlhanMN I’m not sure how @TuckerCarlson and @FoxNews still have sponsors. I am fine with them having free…,AOC
1/16/2021 19:12,1.35052E+18,RT @IDoTheThinking: Tucker Carlson spends all day being jealous of AOC which he why he cries like a little bitch about her every broadcast.…,AOC
1/16/2021 19:12,1.35052E+18,RT @CharonBrad: @davidmweissman @AOC @IlhanMN @laurenboebert @mtgreenee Found this yesterday. https://t.co/XhSv87FJbH,AOC
1/16/2021 19:12,1.35052E+18,"RT @cappymar: No, AOC, it's not the government's job to ""rein in our media"" https://t.co/RmZlv1SEEb via @reason",AOC
1/16/2021 19:12,1.35052E+18,@AOC Your not going to liberate the southern states. If you like being a communist and racial socialist the you and… https://t.co/8GzsTHCnSp,AOC
